problema,causa,sintomas,solucao
Trinca no Bloco do Motor,Pressão excessiva no sistema de arrefecimento,Vazamento de líquido de arrefecimento,Possível reparo com resina epóxi ou substituição do bloco do motor
Trinca no Bloco do Motor,Pressão excessiva no sistema de arrefecimento,Superaquecimento do Motor,Possível reparo com resina epóxi ou substituição do bloco do motor
Trinca no Bloco do Motor,Pressão excessiva no sistema de arrefecimento,Perda de potência do motor,Possível reparo com resina epóxi ou substituição do bloco do motor
Trinca no Bloco do Motor,Pressão excessiva no sistema de arrefecimento,Fumaça branca no escapamento,Possível reparo com resina epóxi ou substituição do bloco do motor
Trinca no Bloco do Motor,Exposição a altas temperaturas,Vazamento de líquido de arrefecimento,Possível reparo com resina epóxi ou substituição do bloco do motor
Trinca no Bloco do Motor,Exposição a altas temperaturas,Superaquecimento do Motor,Possível reparo com resina epóxi ou substituição do bloco do motor
Trinca no Bloco do Motor,Exposição a altas temperaturas,Perda de potência do motor,Possível reparo com resina epóxi ou substituição do bloco do motor
Trinca no Bloco do Motor,Exposição a altas temperaturas,Fumaça branca no escapamento,Possível reparo com resina epóxi ou substituição do bloco do motor
Trinca no Bloco do Motor,Defeitos de Fabricação,Vazamento de líquido de arrefecimento,Substituição do bloco do motor
Trinca no Bloco do Motor,Defeitos de Fabricação,Superaquecimento do Motor,Substituição do bloco do motor
Trinca no Bloco do Motor,Defeitos de Fabricação,Perda de potência do motor,Substituição do bloco do motor
Trinca no Bloco do Motor,Defeitos de Fabricação,Fumaça branca no escapamento,Substituição do bloco do motor
